TCM_name;TCM_name_en;Herb_pinyin_name;Herb_latin_name;Properties;Meridian_1;Meridian_2;Meridian_3;Meridian_4;Meridian_5;Meridian_6;UsePart;Function;Indication;Toxicity;Clinical_manifestations;Therapeutic_en_class;Therapeutic_cn_class
亚麻;Common Flax;YA MA;Linum usitatissimum;;;;;;;;root, leaf;To calm liver, quicken blood.;Liver wind headache, knocks and falls, swollen welling abscess and clove sores.;;;;
菠菜;Spinish;BO CAI;Spinacia oleracea;;;;;;;;whole herb with root;To nourish blood, stanch bleeding, calm liver, moisten dryness.;Spontaneous external bleeding, hematochezia, headache, dizziness and dim vision, red eyes, night blindness, diabetes mellitus, fecal stoppage, hemorrhoids.;;;;
香薷;all-grass of Haichow Elsholtzia;XIANG RU;"Herba Elsholtziae;Haichow Elsholtzia;Mosla chinensis";"Minor Warm; Pungent";;;;;;;aerial parts;"1. To promote diaphoresis and release the exterior; 2. To resolve dampness and harmonize the spleen and stomach; 3. To promote water metabolism and release edema";Fever, aversion of cold, headache, absence of sweating, abdominal pain, vomiting and diarrhea, edema and inhibited urination, beriberi.;;1. Its volatile oil causes dilation and congestion of renal blood vessels and exerts a diuretic effect.2. Expectorant.3. Virostatic. Its decoction(1:20) inhibits the growth of ECHO11 virus.;Pungent-Warm Exterior-Releasing Medicinal;辛温解表药
大蓟;Peking Euphorbia;"DA JI(3);DA JI 1";"Euphorbia pekinensis;Peking spurge root;Radix euphorbiae pekinensis";"Cold; Pungent; Bitter";Lung; Large Intestine; Kidney;;;;"tuberoid;Euphorbia pekinesis Rupr.;Knoxia valerianoides Thorel et Pitard";"To drain water and expel rheum, dissipate binds and disperse swelling.;1. Treatment of edema of the face and the body, retention of fluid in the chest and ascites. Peking spurge root (Daji) is used with Jujube (Dazao), Kansui root (Gansui) and Genkwa flower (Yuanhua) in the formula Shizao Tang. 2. Treatment of boils, carbuncles, scrofula and subcutaneous nodules. Peking spurge root (Daji) is used with Pleione rhizome (Shancigu) and Moleplant seed (Qianjinzi) for internal and external use in the formula Zijin Ding.";"Edema, seeper in chest and abdomen, phlegm-rheum, inhibited urine and stool, swollen welling abscess, scrofula.;1. Treatment of edema of the face and the body, retention of fluid in the chest and ascites. Peking spurge root (Daji) is used with Jujube (Dazao), Kansui root (Gansui) and Genkwa flower (Yuanhua) in the formula Shizao Tang. 2. Treatment of boils, carbunc";;;Purging;泻下
大蓟;Japanese Thistle;"DA JI(4);DA JI II;DA JI I";Cirsium japonicum;;;;;;;;aerial parts or root;To cool blood and stanch bleeding, dispel stasis and disperse swelling.;Spontaneous external bleeding, blood ejection, hematuria, hematochezia, flooding and spotting, bleeding due to external injury, swelling toxin of welling abscess and sore.;;;;
大蓟;all-grass of Thistle;DA JI;"Herba Cirsii Japonici;Radix Cirsii Japonici;Herba seu Radix Cirsii japonici";"Cool; Sweet; Bitter";Liver; Heart;;;;;Cirsium japonici DC.;"To arrest bleeding by reducing heat in the blood, to remove blood stasis, and to promote the subsidence of swelling.;Treatment of epistaxis, spitting of blood, hematuria, hematochezia, abnormal uterine bleeding, traumatic bleeding, carbuncles and sores.";1. Its decoction can lower blood pressure2. Inhibiting the growth of (a)-streptococcus3. Shortening the bleeding time.4. Anti-inflammatory5. Diuretic.;;;"Blood-Cooling Hemostatic Medicinal;Bleeding control";"凉血止血药;止血"
鹿葱;Autumn Lycoris;LU CONG;Lycoris squamigera;;;;;;;;bulb;To resolve toxin, dispel phlegm, disinhibit urine, promote vomiting.;Swelling pain in throat, swelling toxin of sore and welling abscess, scrofula, cough of phlegm asthma, edema, inhibited urination, food poisoning.;;;;
薜荔;Climbing Fig;BI LI;Ficus pumila;;;;;;;;leafy stem;To dispel wind and disinhibit damp, quicken blood and free network vessels, resolve toxin and disperse swelling.;Wind-damp impediment pain, sciatica, diarrhea, urinary strangury, edema, malaria, amenorrhea, postpartum blood stasis abdominal pain, swelling pain in throat, testitis, lacquer sore, swelling toxin of welling abscess and sore, knocks and falls.;;;;
黑姜;Prepared Ginger;HEI JIANG;Rhizoma Zingiberis Recens Preparata;"Warm; Pungent";Lung; Spleen; Stomach;;;;Zingiber officinale (Willd.) Rosc.;Treatment of hmatemesis, hemafecia, hemoptysis and metrorrhagia of asthenia-cold type.;Treatment of hmatemesis, hemafecia, hemoptysis and metrorrhagia of asthenia-cold type.;;;Bleeding control;止血
炮姜;Prepared Ginger;PAO JIANG;Rhizoma Zingiberis Praeparata;"Warm; Pungent";Lung; Spleen; Stomach;;;;Zingiber officinale (Willd.) Rosc.;Treatment of hmatemesis, hemafecia, hemoptysis and metrorrhagia of asthenia-cold type.;Treatment of hmatemesis, hemafecia, hemoptysis and metrorrhagia of asthenia-cold type.;;;Bleeding control;止血
大叶紫珠;Bigleaf Beautyberry;DA YE ZI ZHU;Callicarpa macrophylla;;;;;;;;root or leaf;To stanch bleeding and relieve pain, dissipate stasis and disperse swelling.;Hemoptysis, spontaneous external bleeding, bleeding due to external injury, bleeding from dental extraction, painful swelling from knocks and falls, wind-damp bone pain.;;;;
杜茎山;Japanese Maesa;DU JING SHAN;Maesa japonica;;;;;;;;root and leaf;To dispel wind, resolve epidemic toxin, disperse swelling.;Febrile infectious diseases, generalized pain, vexation and agitation, thirst, edema, painful swelling from knocks and falls, bleeding due to external injury.;;;;
天门冬;Cochinchinese Asparagus;TIAN MEN DONG;Asparagus cochinchinensis [Syn. Asparagus lucidus ];"Sweet;  bitter; Extremely cold";Lung; kidney;;;;;tuberoid;To enrich yin and moisten dryness, clear lung and downbear fire.;Yin vacuity fever, cough with blood ejection, lung wilting, pulmonary welling abscess, swelling pain in throat, diabetes mellitus, constipation.;;;For tonifying weakness;补虚
长柔毛委陵菜;Velutinous Cinquefoil;CHANG ROU MAO WEI LING CAI;Potentilla griffithii var. velutina;;;;;;;;root;To rectify qi and disperse food, promote contraction and stanch bleeding, clear heat and quicken blood.;Food accumulation stomachache, gastri c ulcer, duodenal ulcer, child gan accumulation, dysentery, incessant postpartum bleeding, infant fright wind, facial paralysis.;;;;
鲶鱼须;Siebold Greenbrier Equivalent plant: Smilax stans;NIAN YU XU;Smilax sieboldii;;;;;;;;rhizome and root;To dispel wind and disinhibit damp, quicken blood and free network vessels, resolve toxin and dissipate binds.;Wind-damp impediment pain, sore and boil, toxin swelling, scrofula.;;;;
山东肿足蕨;Shandong Hypodematium;SHAN DONG ZHONG ZU JUE;Hypodematium sinense;;;;;;;;whole herb or leaf;To harmonize stomach and check vomiting, calm liver and quiet spirit.;Nausea, vomiting, dizziness, insomnia.;;;;
糖芥;Diffuse Erysimum;TANG JIE;Erysimum diffusum;;;;;;;;seed;To constrain lung and relieve cough.;Vacuity taxation cough.;;;;
大丁草;Gerbera;DA DING CAO;Gerbera anandria [Syn. Leibnitzia anandria ];;;;;;;;whole herb;To clear heat and disinhibit damp, resolve toxin and disperse swelling.;Lung heat cough, damp-heat diarrhea dysentery, heat strangury, pain in joints due to rheumatalgia, swelling toxin of welling abscess and boil, ulcer of lower limb, snake or insect bites, bleeding due to external injury.;;;;
金丝带;Green Alectoria Filament;JIN SI DAI;Alectoria vivens;;;;;;;;filament;To eliminate wind-damp, stanch bleeding and relieve pain, quicken blood and regulate menstruation, quiet spirit and calm, fortify spleen and stomach.;Taxation damage pain in lumbus and legs, bleeding due to external injury, menstrual disorder, prolapse of uterus, vaginal discharge, mental disease, epilepsy, hemiplegia, impotence, dizziness and dim vision.;;;;
入地金牛;Shinyleaf Pricklyash;RU DI JIN NIU;Zanthoxylum nitidum;;;;;;;;root or branchlet-leaf;To dispel wind and free network vessels, disperse swelling and relieve pain.;Wind-damp bone pain, stomachache, toothache, throat impediment, scrofula, burns and scalds.;;;;
桔梗;"Platycodon Root;Balloonflower";JIE GENG;Radix Platycodi;"Mild; Pungent; Bitter";Lung;;;;;;root;To relieve cought, to soothe sore throat, and to promote expectoration and discharge of pus.;Cough with profuse phlegm, swelling pain in throat, pulmonary welling abscess with hacking of pus and blood, fullness in chest and rib-side pain, dysentery, dribbling urinary block.;;1. Small dosage of platycodoside, one of its active components, can increase secretion of respiratory tract and promote expectoration.2. Platycodoside may also serve as a sedative, an analgesic and an antipyretic.3. Its decoction inhibits the growth of St;Phlegresolving Medicine;化痰药
丝瓜籽;Suakwa Vegetablesponge Seed;SI GUA ZI;Luffa cylindrica;;;;;;;;seed;To clear heat, disinhibit water, free stool, expel worms.;Edema, stone strangury, lung heat cough, intestinal wind bleeding, hemorrhoids and fistulas, constipation, ascariasis.;;;;
宽叶香蒲;Broadleaf Cattail Pollen;KUAN YE XIANG PU;Typha latifolia;;;;;;;;pollen;See Typha angustata .;See Typha angustata .;;;;
柳叶白前;Willowleaf Swallowwort;LIU YE BAI QIAN;Cynanchum stauntonii;;;;;;;;root and rhizome;To downbear qi , disperse phlegm, relieve cough.;Stasis of lung qi , cough with profuse phlegm, fullness in chest and rapid asthma.;;;;
猪毛菜;Common Russianthistle;ZHU MAO CAI;Salsola collina;;;;;;;;whole herb;To lower blood pressure, calm liver and subdue yang , moisten intestines and free stool.;Hypertension, headache, dizziness, insomnia,ntestinal dry and constipation.;;;;
竹叶柴胡;Bambooleaf Thorowax;ZHU YE CHAI HU;Bupleurum marginatum;;;;;;;;root;See Bupleurum chinense.;See Bupleurum chinense.;;;;
蝉蜕;"Cicada Slough;Periostracum Cicadae";CHAN TUI;Periostracum Cicadae;"Cold; Sweet";Lung; Liver;;;;;Cryptotympana pustulate Fabricius;"To dispel wind-heat, to soothe sore throat, to promote eruption, to clear the eye of corneal opacity, and to arrest spasm.;Treatment of upper respiratory infection with sore throat, hoarseness of voice, measles with inadequate eruption, urticaria with itching, inflammation of the eye with formation of corneal opacity, convulsion, tetanus.";Treatment of upper respiratory infection with sore throat, hoarseness of voice, measles with inadequate eruption, urticaria with itching, inflammation of the eye with formation of corneal opacity, convulsion, tetanus.;;;"Pungent Cool Diaphoretics;For relieving exterior syndrome";"辛凉解表药;解表"
光叶粉花绣线菊;Fortune Japanese Spiraea Equivalent plant: Spiraea japonica;GUANG YE FEN HUA XIU XIAN JU;Spiraea japonica var. fortunei;;;;;;;;root;To dispel wind and clear heat, eliminate screen and brighten eyes.;Cough, toothache, headache, red eyes and eye screen.;;;;
乌头;Common Monkshood Equivalent plant: Aconitum karakolicum, Aconitum balfourii;WU TOU;Aconitum carmichaeli;;;;;;;;tuberoid;To dispel wind and eliminate damp, warm channels, dissipate cold and relieve pain.;Wind-cold-damp impediment, pain in joints, numbness in limbs, hemiplegia, head wind headache, cold pain in heart and abdomen, cold mounting with pain, stasis pain from knocks and falls, swelling toxin of flat abscess.;;1. Analgesic, 25mg/kg subcutaneous injection in mice.2. Anti-inflammatory.3. Low dosage induces respiratory acceleration, cutaneous vasodilation, lowering of body tempwerature and salivation. High dosage leads to hyperactivity, convulsion and respiratory ;For warming interior;温里
紫雪花;Indian Leadword;ZI XUE HUA;Plumbago indica;;;;;;;;Stem-leaf or flower;To break blood and free menstruation, disperse swelling and relieve pain, dispel wind and kill worms.;Amenorrhea, dysmenorrhea, wind-damp impediment pain, sprain from knocks and falls, swelling toxin of welling abscess and sore, scab and lichen.;;;;
木贼麻黄;Mongolian Ephedra;MU ZEI MA HUANG;Ephedra equisetina;;;;;;;;herbaceous twigs;See Ephedra sinica.;See Ephedra sinica.;;;;
紫金牛根;Japanese Ardisia Root;ZI JIN NIU GEN;Ardisia japonica;;;;;;;;root;To dispel wind-phlegm.;Seasonal diaphragm qi.;;;;
多穗石柯叶;Manyspike Tanoak Leaf;DUO SUI SHI KE YE;Lithocarpus polystachyus;;;;;;;;leaf;To clear heat and resolve toxin, transform phlegm, dispel wind, lower blood pressure.;Hypertension, damp-heat diarrhea dysentery, lung heat cough, sores with welling abscess and flat abscess, dry-itchy skin.;;;;
鄂报春;Top Primrose;E BAO CHUN;Primula obconica;;;;;;;;root;To resolve liquor toxin, settle pain.;;;;;
汝南;Hernandialeaf Stephania;RU LAN;Stephania hernandifolia;;;;;;;;root;To clear heat and resolve toxin, dispel wind-damp, relieve pain.;Sore toxin of welling abscess and boil, swelling pain in throat, epidemic parotitis, wind-damp impediment pain, dysentery, headache, stomachache, taxation damage and pain.;;;;
四季青;Purpleflower Holly Leaf;SI JI QING;Folium Llicis Chinensis;"Cold; Bitter; Punkery";Lung; Heart;;;;;leaf;To clearheat and toxic materials.;Angina pectoris, coronary heart disease, thrombophlebitis, thromboangiitis obliterans (Buerger’s disease), lung heat cough, swelling pain in throat, dysentery, diarrhea, infection of biliary tract , urinary tract infection, burns and scalds, heat toxin swollen welling abscess, ulcer of lower limb, eczema, frostbite, cracking, wound, bleeding due to external injury.;;1. Its decoction, injection or its active components, protocatechuic acid and protocatechuic aldehyde possess broad-spectrum antibacterial effect, especially on Staphylococcus arueus.2. Promote scabbing and antiphlogistic for burn and scald3. Its decoctio;Antipyretic Detoxicate Drugs;清热解毒药
花叶假杜鹃;;HUA YE JIA DU JUAN;Barleria lupulina;;;;;;;;whole herb;To free channels and network vessels, joint sinews and bones, resolve toxin and disperse swelling.;Painful swelling from knocks and falls, fracture, bleeding due to external injury, swollen welling abscess and sore toxin, poisonous snake bites.;;;;
荔枝草;Common Sage;LI ZHI CAO;Salvia plebeia;;;;;;;;aerial parts;To clear heat and resolve toxin, cool blood and dissipate stasis, disinhibit water and disperse edema.;Common cold with fever, swelling pain in throat, lung heat cough, hemoptysis, blood ejection, hematuria, flooding and spotting, bleeding from hemorrhoids, nephritis with edema, white turbidity, dysentery, swelling toxin of welling abscess and sore, eczema titillation, knocks and falls, snake or insect bites.;;1. Its decoction is an expectorant, and can inhibit the growth of Staphylococcus albus and pneumococcus in vitro.2. Its flavone glycoside is an expectorant and antiasthmatic.;;
络石藤;stem of Chinese starjasmine;LUO SHI TENG;Caulis Trachelospermi;"Minor cold; Bitter";Liver; Heart;;;;;leafy stem;To dispel wind and remove obstruction from the channels and to remove heat from blood and cause subsidence of swelling.;Wind-damp impediment pain, hypertonicity of sinews and vessels, aching in lumbus and knees, throat impediment, swollen welling abscess, knocks and falls.;;1. An active component arcitiin is a vasodilator and hypotensive. 2. Over dosage of arctiin may lead to convulsion and respiratory failure. ;Wind-Dampnessdispelling And Heatclearing Medicinal;祛风湿清热药
印度萝芙木;Java Devilpepper;YIN DU LUO FU MU;Rauwolfia serpentina;;;;;;;;root, stem-leaf;To lower blood pressure.;Hypertension.;;;;
山蚂蝗;Acutifoliate Podocarpium;SHAN MA HUANG;Desmodium racemosum [Syn. Podocarpium podocarpum var. oxyphyllum ];;;;;;;;herb;To dispel wind and eliminate damp, quicken blood and resolve toxin.;Wind-damp impediment pain, flooding, vaginal discharge, haryngolaryngitis, mammary welling abscess, knocks and falls, poisonous snake bite.;;;;
虎尾兰;Snake Sansevieria;HU WEI LAN;Sansevieria trifasciata;;;;;;;;leaf;To clear heat and resolve toxin, quicken blood and disperse swelling.;Common cold, lung heat cough, toxin swelling of sores, knocks and falls, poisonous snake bite, scalds.;;;;
欧洲葡萄;European Grape;OU ZHOU PU TAO;Vitis vinifera;;;;;;;;fruit;To supplement qi and blood, strengthen sinews and bones, disinhibit urine.;Vacuity of qi and blood, lung vacuity cough, palpitation and night sweating, wind-damp impediment pain, strangury, edema.;;;;
老鼠簕;Hollyleaf Acanthus;LAO SHU LE;Acanthus ilicifolius;;;;;;;;root or branch-leaf;To clear heat and resolve toxin, transform phlegm and disinhibit damp, dissipate stasis and relieve pain.;Mumps, scrofula, liver spleen enlargement, stomachache, taxation damage in lumbar muscle, phlegm-heat cough asthma, jaundice, white turbidity, acute hepatitis, chronic hepatitis.;;;;
火索麻;Tortedfruit Screwtree;HUO SUO MA;Helicteres isora;;;;;;;;root;To move qi and relieve pain.;Chronic gastritis, gastric ulcer, ileus, enteritis and diarrhea.;;;;
白豆蔻;Round Cardamom;BAI DOU KOU;Amomum kravanh [Syn. Amomum cardamomum];"Warm; Pungent";Lung; Spleen; Stomach;;;;seed;To transform damp and move qi , warm center and check vomiting, increase appetite and disperse food.;Spleen-stomach qi stagnation due to damp obstructing middle-jiao, vomiting with stomach cold, vomiting of milk in infants with stomach cold.;;1. Promoting the secretion of gastric juice and intestinal peristalsis, and inhibiting the abnormal fermentation in intestines. 2. Inhibiting Bacillus dysenteriae.;For desolving dampness by flavors;芳香化湿
水茄;Water Nightshade;SHUI QIE;Solanum torvum;;;;;;;;root;To quicken blood, dissipate stasis and relieve pain.;painful wound from knocks and falls, taxation damage in lumbar muscle, sand, stomachache, clove sore, swollen welling abscess.;;;;
香港樫木;Hongkong Pencilwood;XIANG GANG JIAN MU;Dysoxylum hongkongense;;;;;;;;leaf;To interrupt malaria.;Malaria.;;;;
山慈菇;"Appendiculate Cremastra Pseudobulb or Common Pleione Pseudobulb;Arrowhead-like Wildginger";SHAN CI GU;"Pseudobulbus Cremastrae seu Pleiones;Asarum sagittarioides";;;;;;;;whole herb;To remove toxic heat, and to dissolve lumps.;Common cold, stomachache, toothache, knocks and falls, snake bite.;;Colchine, one of its active components, and its derivatives exert an inhibiting effect on various kind of sarcoma and parenchymatous liver cancer in experimental animals. It serves as an inhibitor in the intermediate stage of cellular mitosis.;Antipyretic Detoxicate Drugs;清热解毒药
冬虫夏草;"Chinese Caterpillar Fungus;Cordyceps sinensis";DONG CHONG XIA CAO;Cordyceps;"Mild; Sweet";Lung; Kidney;;;;;a drug consisting of dried fungal stroma growing on larva of a caterpillar;To tonify the lung and the kidney, arrest bleeding, and dispel phlegm.;Impotence and emission, neurasthenia, backache, aching in lumbus and knees, enduring cough and vacuity asthma, taxation damage hemoptysis.;;1. Relaxing the smooth muscles of bronchus.2. Increasing the anoxia tolerance in mice3. Sedativ, anti-inflammatory.;Yang Reinforcing Drugs;补阳药
女贞子;"fruit of Glossy privet;Ligustrum lucidum";NV ZHEN ZI;Fructus Ligustri lucidi;"Cool; Sweet; Bitter";Liver; Kidney;;;;;Ligustru lucidu Ait.;"To replenish the liver and kidney, improve eyesight and promote the growth of black hair.;Treament of vertigo, tinnitus, weakness in the loins and knees, premature whitening of hair and impaired eyesight due to deficiency of yin of the liver and kidney.";"Septicemia, chronic bronchitis, acute dysentery, dizziness and tinnitus, premature graying in beard and hair, dim vision.;1. Its component oleanolic acid can prevent and relieve cyclophosphamide-induced leukocytopenia in mice.2. Enhancing the anoxia tolerance of mice under atmospheric pressure.3. Increasing coronary flow in rabbits in vitro.4. Relaxing adrenaline-induced vasocontricyion in rabbits in vitro.5. Lowering the level of blood lipid.";;1. Its component oleanolic acid can prevent and relieve cyclophosphamide-induced leukocytopenia in mice.2. Enhancing the anoxia tolerance of mice under atmospheric pressure.3. Increasing coronary flow in rabbits in vitro.4. Relaxing adrenaline-induced vas;"Yin-Tonifying Medicinal;For tonifying weakness";"补阴药;补虚"
"夜交藤;首乌藤";Tuber Fleeceflower Stem;"YE JIAO TENG;SHOU WU TENG";"Polygonum multiflorum;Caulis Polygoni Multiflori";"Mild; Sweet";Liver; Heart;;;;;"stem;Polygonum multiflorum Thunb.";"To nourish heart and quiet spirit, dispel wind and free network vessels.;Treatment of insomnia, dream-disturbed sleep, general aching in blood deficiency, rheumatic arthralgia, external use for itching.";"Insomnia, frequent dreaming, anemia and generalized pain, muscle numbness, wind-damp impediment pain, wind papule itching.;1. Decreasing the level of blood lipids and inhibiting the formation of atherosclerosis.2. Oral admintration of its decoction increases the level of blood sugar in rabbits.";;1. Decreasing the level of blood lipids and inhibiting the formation of atherosclerosis.2. Oral admintration of its decoction increases the level of blood sugar in rabbits.;For tonifying weakness;补虚
竹柏;Nagai Podocarpus;ZHU BAI;Myrica nagi [Syn. Podocarpus nagi];;;;;;;;leaf;To stanch bleeding and joint bones.;Bleeding due to external injury, fracture.;;;;
保山乌头;Paoshan Monkshood;BAO SHAN WU TOU;Aconitum bullatifolium var. homotrichum [Syn. Aconitum nagarum ];;;;;;;;tuberoid;To dispel wind and overcome damp, free network vessels and relieve pain.;Wind-cold-damp impediment, headache.;;;;
香丝草;"Bona Conyza;Argentine Fleabane";XIANG SI CAO;Conyza bonariensis;;;;;;;;whole herb;To clear heat and resolve toxin, eliminate damp and relieve pain, stanch bleeding.;Common cold, malaria, rheumatic arthritis, swelling and pus of sores, bleeding due to external injury.;;;;
米皮糠;Rice Spermoderm;MI PI KANG;Oryza sativa;;;;;;;;spermoderm;To increase appetite, precipitate qi.;Dysphagia-occlusion, beriberi .;;;;
莳萝子;Dill Fruit;SHI LUO ZI;Anethum graveolens;;;;;;;;fruit;To warm spleen and kidney, increase appetite,move qi, dissipate cold, resolve toxin of fish and meat.;Sand foulness retching, cold pain in abdomen, cold mounting, glomus fullness.;;;;
单穗石松;Interrupted Clubmoss;DAN SUI SHI SONG;Lycopodium annotinum;;;;;;;;whole herb;To dispel wind and eliminate damp, soothe sinews and quicken blood.;Wind-damp impediment pain, numbness in limbs, menstrual disorder, knocks and falls.;;;;
三白草;Chinese Lizardtail Rhizome or Herb;SAN BAI CAO;Rhizoma seu Herba Saururi;;;;;;;;rhizome or whole plant;To remove toxic heat, and cause diuresis.;Edema, beriberi, jaundice, strangury-turbidity, vaginal discharge, swollen welling abscess, clove sore.;;;Diuretic Dampness Excreting Drugs;利水渗湿药
五爪龙;Cairo Morningglory;WU ZHAO LONG;Ipomoea cairica [Syn. Ipomoea palmata ];"Cold; Sweet; Bitter";Lung; Large Intestine; Liver;;;;Root or stem-leaf;To clear heat and resolve toxin, disinhibit water and free strangury.;Lung heat cough, inhibited urination, strangury, edema, swollen welling abscess and toxin of clove.;;;;
蜜蜡;Bee Wax;MI LA;Apis cerana;;;;;;;;bee wax;To resolve toxin, engender flesh, check dysentery, stanch bleeding, settle pain.;Effusion of back from welling abscess and flat abscess, enduring sores, acute heart pain, dysentery with pus and blood, chronic diarrhea, stirring fetus with bleeding, emission, Vaginal discharge.;;;;
云南含笑;Yunnan Michelia;YUN NAN HAN XIAO;Michelia yunnanensis;;;;;;;;flower;To clear heat and resolve toxin.;Pharyngolaryngitis, nasitis, conjunctivitis, brain leak.;;;;
蓖麻子;"Castor Seed;Castorbean Seed";BI MA ZI;Semen Ricini;"Mild; Pungent; Sweet";Lung; Large Intestine;;;;;ripe seed;To induce subsidence of swelling and remove toxic substances, to cause purgation.;Swelling toxin of welling abscess and flat abscess, throat impediment, scrofula, dry stool.;;;External Medicinal (Draw Out Toxin, Resolve Putridity);拔毒化腐生肌药
阔叶猕猴桃;Broadleaf Actinidia;KUO YE MI HOU TAO;Actinidia latifolia;;;;;;;;fruit;To boost qi and nourish yin.;Enduring illness vacuity, tuberculosis.;;;;
小百部;Officinal Asparagus;XIAO BAI BU;Asparagus officinalis;;;;;;;;tuberoid;To warm lung, suppress cough, kill worms.;Wind-cold common cold, pertussis, tuberculosis, senile cough and asthma, scab and lichen.;;;;
姬蕨;Punctate Flakelet Fern;JI JUE;Hypolepis punctata [Syn. Polypodium punctatum];;;;;;;;whole herb;To clear heat and resolve toxin, promote contraction and stanch bleeding.;Burns and scalds, bleeding due to external injury.;;;;
大花细辛;Largeflower Wildginger;DA HUA XI XIN;Asarum maximum;;;;;;;;whole herb with root;To dispel wind and dissipate cold, relieve cough and dispel phlegm, quicken blood and resolve toxin, relieve pain.;Wind-cold common cold, headache, cough and asthma, wind-damp pain, knocks and falls.;;;;
枸杞叶;Chinese Wolfberry Leaf;GOU QI YE;Lycium chinense;;;;;;;;leaf;To supplement vacuity and boost essence, clear heat and allay thirst, dispel wind and brighten eyes.;Vacuity taxation with fever, vexation and thirst, sore red eyes and clouded vision, eye screen, night blindness, flooding, vaginal discharge, heat toxin sores.;;;;
乳香;"Frankincense;Olibanum";RU XIANG;Resi oliani;"Warm; Pungent; Bitter";Spleen; Liver; Heart;;;;balsam;"1. To invigorate blood and stop pain; 2. To reduce swelling";Pain in heart and abdomen, wind-damp impediment pain, amenorrhea, dysmenorrhea, stasis pain from knocks and falls, swelling toxin of welling abscess and flat abscess, intestinal welling abscess, enduring sores.;;1. Exerting significant analgesic effect.2. Dilating the peripheral blood vessels.3. Enhancing the phagocytosis of macrophages in the abdominal cavity of mice.;Blood Activating Stasis Removing Drugs;活血祛瘀药
樗叶花椒;Ailanthus-like Pricklyash;CHU YE HUA JIAO;Zanthoxylum ailanthoides;;;;;;;;fruit;To warm center, dry damp, kill worms, relieve pain.;Cold pain in heart and abdomen, cold rheum, diarrhea, cold dysentery, damp impediment, red and white vaginal discharge, toothache.;;;;
"刺柏;山刺柏";Taiwan Juniper;"CI BAI;SHAN CI BAI";"Juniperus formosana;Juniperus taiwaniana";;;;;;;;root and root cortex and branch-leaf or fruit;To clear heat and resolve toxin, dry damp and relieve itch.;"Measles papules with ardent fever, eczema, lichen sore.;Enduring low fever, skin lichen.";;;;
麝香;Abelmusk;SHE XIANG;Moschus moschiferus, Moschus berezovskii, Moschus sifanicus;"Warm; Pungent";Spleen; Heart;;;;;dried secretion obtained from musk gland of musk deer;To open orifices and arouse spirit, quicken blood and dissipate binds, disperse swelling and relieve pain.;Angina pectoris, cerebral thrombosis, vascular migraine, carcinoma, febrile diseases clouded spirit, wind stroke with phlegm reversal, qi depression and fulminant reversal, malignity stroke stupor, amenorrhea due to blood stasis, concretion conglomeration accumulation and gathering, sudden pain in heart and abdomen, knocks and falls, wound, impediment pain numbness, malign sore with welling abscess and flat abscess, throat impediment, mouth sore, gan of teeth and gum, otitis media.;;;Mind opening ;开窍
萝芙木;Common Devilpepper Equivalent plant: Rauvolfia verticillata var hainanensis , Rauwolfia latifrons, Rauwolfia perakensis, Rauvolfia vomitoria, Rauvolfia verticillata f rubrocarpa;"LUO FU MU;BI SHI LUO FU MU";Rauvolfia verticillata;;;;;;;;root;To clear heat, lower blood pressure, quiet spirit.;Common cold with fever, headache and generalized pain, swelling pain in throat, hypertension, dizziness, insomnia, gan accumulation.;;;;
麝香草;Thyme;SHE XIANG CAO;Thymus vulgaris;;;;;;;;herb;To suppress cough and dispel wind.;Pertussis, acute bronchitis, pharyngolaryngitis.;;;;
大蒜;"Garlic;Allium sativum";DA SUAN;Bulbus Allii;"Warm; Pungent";Lung; Spleen; Stomach;;;;bulb;Toxication reduction, anthelmintic, dampness removal, and itching control;Cold pain in stomach duct and abdomen, diarrhea, dysentery, bacillary dysentery, amebic dysentery, tuberculosis, epidemic encephalitis, cholera, trichomoniasis, laryngeal carcinoma, pertussis, throat impediment, dry cough, common cold, malaria, edema, swelling toxin of welling abscess and boil, intestinal welling abscess, lichen sore, snake or insect bites, ancylostomiasis, oxyuria disease, taenia infection, vaginal discharge and pudendal itch, clavus.;;;Medicinal For Detoxification、Parasiticide、Drying Dampness And Relieving Itching;解毒杀虫燥湿止痒药
金刷把;"Fallax Cladonia Lichen;Cladonia fallax Lichen";JIN SHUA BA;Cladonia fallax;;;;;;;;lichen;To relieve pain, calm.;Epilepsy, schizophrenia, neurasthenia, dizziness and dim vision.;;;;
大花旋覆花;"British Inula Herb;Flos Inulae Britanniae";DA HUA XUAN FU HUA CAO;Inula britannica;;;;;;;;aerial parts;See Inula japonica .;See Inula japonica .;;;;
海岛棉;Barbados Cotton;HAI DAO MIAN;Gossypium barbadense];;;;;;;;tomentum of seed;See Gossypium herbaceum.;See Gossypium herbaceum.;;;;
紫葳;Chinese Trumpetcreeper;ZI WEI;Campsis grandiflora;;;;;;;;flower;To clear heat and cool blood, transform stasis and dissipate binds, dispel wind and relieve itch.;Blood stagnation and menstrual block, dysmenorrhea, concretion and conglomeration, flooding and spotting, wind papule itching due to blood heat, urticari with sore and scab, brandy nose.;;;;
